Dataset size: 6000
Computing kernel matrix...
Finished computing kernel matrix.

>>> New run >>>>>>>>>>>>>>>>>>>>
C = 0.08 , tau = 0.008
f_low, f_up:  0.0944227547995 0.0943397923307
Step 1720 , F:  -157.585922675
f_low, f_up:  0.0944277917171 0.0943627038165
Step 1740 , F:  -157.585922723
f_low, f_up:  0.0944201090885 0.0943714749413
Step 1760 , F:  -157.585922748
f_low, f_up:  0.094411078172 0.094377179573
Step 1780 , F:  -157.585922767
f_low, f_up:  0.0944081394313 0.0943763379536
Step 1800 , F:  -157.585922777
f_low, f_up:  0.0944032386983 0.094381026393
Step 1820 , F:  -157.585922783
f_low, f_up:  0.094401956072 0.0943839653289
Step 1840 , F:  -157.585922787
f_low, f_up:  0.09440047463 0.0943868359232
Step 1860 , F:  -157.585922789
f_low, f_up:  0.0943961253341 0.0943849087962
Step 1880 , F:  -157.585922791
f_low, f_up:  0.0943949366186 0.09438652251
Step 1900 , F:  -157.585922792
f_low, f_up:  0.0943942003647 0.0943870989162
Step 1920 , F:  -157.585922792
f_low, f_up:  0.0943931949955 0.0943874212608
Step 1940 , F:  -157.585922793
f_low, f_up:  0.0943930434132 0.0943879758128
Step 1960 , F:  -157.585922793
f_low, f_up:  0.0943914740371 0.0943878462523
Step 1980 , F:  -157.585922793
f_low, f_up:  0.0943910355173 0.0943883553754
Step 2000 , F:  -157.585922793
f_low, f_up:  0.0943909992846 0.0943885825926
Step 2020 , F:  -157.585922793
f_low, f_up:  0.0943906776163 0.0943888127937
Step 2040 , F:  -157.585922794
f_low, f_up:  0.0943906477054 0.0943890183445
Step 2060 , F:  -157.585922794
f_low, f_up:  0.0943905719494 0.0943891475302
Step 2080 , F:  -157.585922794
f_low, f_up:  0.0943903157943 0.0943893081461
Step 2100 , F:  -157.585922794
f_low, f_up:  0.094390168135 0.0943892236416
Step 2120 , F:  -157.585922794
f_low, f_up:  0.0943900229448 0.0943894144785
Step 2140 , F:  -157.585922794
f_low, f_up:  0.0943898090089 0.0943893225594
Step 2160 , F:  -157.585922794
f_low, f_up:  0.0943899077927 0.0943895370886
Step 2180 , F:  -157.585922794
f_low, f_up:  0.0943898507084 0.0943895032521
Step 2200 , F:  -157.585922794
f_low, f_up:  0.0943897927357 0.0943894943515
Step 2220 , F:  -157.585922794
f_low, f_up:  0.094389747242 0.0943895375236
Step 2240 , F:  -157.585922794
f_low, f_up:  0.094389737444 0.0943895872886
Step 2260 , F:  -157.585922794
f_low, f_up:  0.094389688021 0.094389583906
Step 2280 , F:  -157.585922794
f_low, f_up:  0.0943897002344 0.0943896047872
Step 2300 , F:  -157.585922794
f_low, f_up:  0.0943896936169 0.0943896059367
Step 2320 , F:  -157.585922794
f_low, f_up:  0.0943896820767 0.0943896153925
Step 2340 , F:  -157.585922794
f_low, f_up:  0.0943896689344 0.0943896242575
Step 2360 , F:  -157.585922794
f_low, f_up:  0.0943896613873 0.0943896210178
Step 2380 , F:  -157.585922794
f_low, f_up:  0.0943896600888 0.0943896229464
Step 2400 , F:  -157.585922794
f_low, f_up:  0.094389654539 0.0943896331192
Step 2420 , F:  -157.585922794
f_low, f_up:  0.0943896505138 0.0943896292172
b: 0.0943896399166
